"name","year","quarter","month","sum"
"Bangladesh",2013,2,"June",0
"Bangladesh",2013,2,"May",17.0
"Bangladesh",2013,2,NULL,17.0
"Bangladesh",2013,3,"August",0
"Bangladesh",2013,3,"July",0
"Bangladesh",2013,3,"September",0
"Bangladesh",2013,3,NULL,0
"Bangladesh",2013,4,"December",0
"Bangladesh",2013,4,"November",0
"Bangladesh",2013,4,"October",0
"Bangladesh",2013,4,NULL,0
"Bangladesh",2013,NULL,NULL,64.0
"Bangladesh",2014,1,"February",41.0
"Bangladesh",2014,1,"January",0
"Bangladesh",2014,1,"March",0
"Bangladesh",2014,1,NULL,41.0
"Bangladesh",2014,2,"April",16.0
"Bangladesh",2014,2,"June",4.0
"Bangladesh",2014,2,"May",70.0
"Bangladesh",2014,2,NULL,90.0
"Bangladesh",2014,3,"August",130.0
"Bangladesh",2014,3,"July",0
"Bangladesh",2014,3,"September",59.0
"Bangladesh",2014,3,NULL,189.0
"Bangladesh",2014,4,"December",0
"Bangladesh",2014,4,"November",0
"Bangladesh",2014,4,"October",0
"Bangladesh",2014,4,NULL,0
"Bangladesh",2014,NULL,NULL,320.0
"Bangladesh",2015,1,"February",78.0
"Bangladesh",2015,1,"January",26.0
"Bangladesh",2015,1,"March",10.0
"Bangladesh",2015,1,NULL,114.0
"Bangladesh",2015,2,"April",57.0
"Bangladesh",2015,2,"June",20.0
"Bangladesh",2015,2,"May",19.0
"Bangladesh",2015,2,NULL,96.0
"Bangladesh",2015,3,"August",0
"Bangladesh",2015,3,"July",90.0
"Bangladesh",2015,3,"September",0
"Bangladesh",2015,3,NULL,90.0
"Bangladesh",2015,4,"December",0
"Bangladesh",2015,4,"November",0
"Bangladesh",2015,4,"October",0
"Bangladesh",2015,4,NULL,0
"Bangladesh",2015,NULL,NULL,300.0
"Bangladesh",2016,1,"February",0
"Bangladesh",2016,1,"January",5.0
"Bangladesh",2016,1,"March",0
"Bangladesh",2016,1,NULL,5.0
"Bangladesh",2016,2,"April",0
"Bangladesh",2016,2,"June",0
"Bangladesh",2016,2,"May",87.0
"Bangladesh",2016,2,NULL,87.0
"Bangladesh",2016,3,"August",123.0
"Bangladesh",2016,3,"July",0
"Bangladesh",2016,3,"September",56.0
"Bangladesh",2016,3,NULL,179.0
"Bangladesh",2016,4,"December",0
"Bangladesh",2016,4,"November",0
"Bangladesh",2016,4,"October",0
"Bangladesh",2016,4,NULL,0
"Bangladesh",2016,NULL,NULL,271.0
"Bangladesh",2017,1,"February",0
"Bangladesh",2017,1,"January",0
"Bangladesh",2017,1,"March",0
"Bangladesh",2017,1,NULL,0
"Bangladesh",2017,2,"April",0
"Bangladesh",2017,2,"June",160.0
"Bangladesh",2017,2,"May",19.0
"Bangladesh",2017,2,NULL,179.0
"Bangladesh",2017,3,"August",144.0
"Bangladesh",2017,3,"July",13.0
"Bangladesh",2017,3,"September",63.0
"Bangladesh",2017,3,NULL,220.0
"Bangladesh",2017,4,"December",25.0
